OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
23802,No Damage,282.0,Hilltop,Court,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,269125.0,1976.0,282 HILL TOP CT BOULDER CREEK CA 95006,37.1570501906,-122.165960029901
53276,No Damage,,,,,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,, , , , , , , , ,,,,35814.0,1950.0,911 CENTRAL PARK DR PARADISE CA 95969,39.7661666206745,-121.608319439222
82498,No Damage,7320.0,Strawberry Creek,Road,Echo Lake,CA,95721.0,AEU,El Dorado,Strawberry,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,Wood,No Deck/Porch,Non Combustible,No Fence,,,59281.0,,ECHO LAKE CA 95721,38.7898599600069,-120.152393915803
50073,Destroyed (>50%),5782.0,Calpine,Drive,Malibu,CA,,LAC,Los Angeles,Zuma,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,447137.0,1979.0,5782 CALPINE DR MALIBU CA 90265,34.0286205562195,-118.815610767231
27442,No Damage,11002.0,Bee Canyon,Road,,CA,,ORC,Orange,Irvine,10/26/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,,,2000523.0,,11002 BEE CYN IRVINE CA ,33.7192695165023,-117.709172851263
115482,Destroyed (>50%),3331.0,Tonia,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,209738.0,1947.0,"3331 TONIA AVE, ALTADENA, CA 91001",34.2010244,-118.1412062
28555,No Damage,14861.0,Finn,Lane,,CA,,ORC,Orange,,12/2/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,Combustible,,,17403.0,1939.0,14861 FINN LN SILVERADO CA,33.745878792287,-117.62012764966
57844,Destroyed (>50%),3112.0,Loretta,Way,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Fire Resistant,Not Applicable,Unknown,Fire Resistant,Single Pane, , , ,,,,11173.0,,3153 LORETTA WAY SANTA ROSA CA 95403,38.4728444172779,-122.732401918475
78177,Destroyed (>50%),20174.0,Rumford,Court,Grass Valley ,CA,95945.0,NEU,Nevada,,8/4/2021 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Unknown,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,,,90759.0,,20179 RUMFORD CT GRASS VALLEY CA 95945,39.1327024087561,-120.971266964452
97831,No Damage,838.0,Dell,Avenue,Mt Baldy,CA,91759.0,BDU,San Bernardino,,9/8/2024 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,210171.0,1927.0,"838 DELL AVE, MT BALDY, CA 91759",34.2380671,-117.6570211
78874,No Damage,9514.0,Shirley Meadows ,Road,Wofford Heights,CA,93285.0,KRN,Kern,Alta Sierra,8/18/2021 12:00:00 AM,Fire,Hand Crew Fuel Break,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,,,,56700 RANCHERIA RD WOFFORD HEIGHTS CA 93285,35.7111064595102,-118.556984181763
20147,No Damage,400.0,Mesa ,Road,,CA,,BEU,Monterey,Salinas ,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,85740.0,,400 MESA RD SALINAS CA 93908,36.5847586824796,-121.635892792084
61222,Destroyed (>50%),2025.0,Stagecoach,Road,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane, , , ,,,,292020.0,,2025 STAGECOACH RD SANTA ROSA CA 95404,38.4868687476721,-122.710026555614
46229,Destroyed (>50%),3980.0,Windermere ,Lane,Concow/Yankee Hill,CA,,BTU,Butte,Concow,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,0-10,,95818.0,1979.0,3980  WINDERMERE LN   CONCOW CA 95965,39.788711186083,-121.508840352307
129257,No Damage,425.0,S Topanga Canyon ,Boulevard,Topanga,CA,90290.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Tile,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,51005.0,1936.0,"425 S TOPANGA CANYON BLVD, TOPANGA, CA 90290",34.0835317,-118.599298
39745,Destroyed (>50%),1931.0,Golf,Drive,Paradise Southeast B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,268651.0,2003.0,1931  GOLF RD   PARADISE CA 95969,39.7394280331458,-121.571738716736
