OBJECTID,Damage,Street Name,"Street Type (e.g. road, drive, lane, etc.)",City,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Type,Structure Category,Roof Construction,Eaves,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Latitude,Longitude,Daily Incident Count,Dist to Station km,Fire Risk Score,Accessibility Risk
123617,No Damage,Calle De Marisa,Drive,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Tile,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,Non Combustible,1428814,1996,34.0767815,-118.5520606,611,1.1092513698895,1.2387725405051204,2.5756968730903576
66542,Destroyed (>50%),Porter Creek,Road,Unincorporated,95404,lnu,Sonoma,2017-10-08,single family residence single story,Single Residence,Fire Resistant,Unenclosed,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,587590,1970,38.5549134629698,-122.673567229659,176,12.236734169780814,8.381099272045713,3.0379862088076366
84706,No Damage,Grand,Street,Greenville,95947,lmu,Plumas,2021-07-13,school,Nonresidential Commercial,Metal,Enclosed,Wood,Multi Pane,Masonry/Concrete,Wood,Non Combustible,Non Combustible,103436,1986,40.1408338435719,-120.944335019484,115,13.488735816821537,3.028288924728018,2.262748909347066
42811,Destroyed (>50%),Foster,Road,Paradise Central Southwest B,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Metal,No Eaves,Combustible,No Windows,No Deck/Porch,No Deck/Porch,Non Combustible,Non Combustible,67302,1900,39.7302111241526,-121.637524727325,1285,2.8463726323577894,4.704090299413749,3.258835523243215
24422,Destroyed (>50%),Starview,Place,Boulder Creek,95006,czu,Santa Cruz,2020-08-16,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,99352,1943,37.156751624327,-122.1363548837,175,2.2908312420480024,3.94953184134354,1.9990004709328737
105003,No Damage,Brookside,Lane,Sierra Madre,91024,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,45433,1920,34.1752641,-118.0435577,64,4.62028654692569,2.290644442260115,2.6899837145137915
65773,Destroyed (>50%),Horizon View,Way,Santa Rosa,95404,lnu,Sonoma,2017-10-08,single family residence multi story,Single Residence,Fire Resistant,Unenclosed,Fire Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,972117,1970,38.4892273937227,-122.697959600488,176,4.716269573711406,5.790238628477624,2.9598560843902946
26982,No Damage,Capricorn,Court,Origin Irvine,92618,orc,Orange,2020-10-26,multi family residence multi story,Multiple Residence,Tile,No Eaves,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,333121,2014,33.7006748218077,-117.730932675016,38,1.9482572207026998,1.235352736647172,1.562934522980833
71364,Destroyed (>50%),Sansone,Drive,Santa Rosa,95403,lnu,Sonoma,2017-10-08,single family residence single story,Single Residence,Fire Resistant,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,310000,1988,38.4707233236183,-122.748763010203,261,2.8870045229517634,4.705028149978266,3.066978794862802
23980,No Damage,Wildwood,Road,Boulder Creek,95006,czu,Santa Cruz,2020-08-16,single family residence single story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,28968,1956,37.1598621641844,-122.13790413351,175,2.3828046982468964,1.6666387647476975,1.6686609429229726
